S.No,Tag UID,Cluster,Plant,Line,Plant SAP Code,Section,Section Number,Equipment Group,Equipment Subtype,Tag Name,Source Item ID,Path,Address,Description,Unit Of Measurement,Min,Max,UCL,LCL,Tag Type,Data Source,Variable Type,Location,Control Variable,Feeder Variable,Variable Group,Criticality,Sampling Interval,Process,Mechanical,E_I,Quality,Safety,Environmental,Cutoff,Make_Supplier,Delta Minimum,Historian Code,KPI
,W-NCJW1-PH1-T-CSP-PETCOKE_CALC_SPA,West,NCJW,1,JF01,PreHeater,1,PreHeater,Others,PETCOKE_CALC_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:PETCOKE_CALC_SPA?Value,PETCOKE_CALC_SPA,,PreCalcinerTempPIDmaster.SetPoint,Deg C,0,1200.0,,,Analog,Sensor,Temperature,,,,Controller SP,,3s,1.0,,,,,,,,,,
,W-NCJW1-PH1-T-PV-FKL_TT321,West,NCJW,1,JF01,PreHeater,1,PreHeater,Others,FKL_TT321,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:FKL_TT321?Value,FKL_TT321,,PreCalcinerTempPIDmaster.PV,Deg C,0,1200.0,,,Analog,Sensor,Temperature,,,,PV,,3s,1.0,,,,,,,,,,
,W-NCJW1-PH1-F-COP-PETCOKE_CALC_SPM,West,NCJW,1,JF01,PreHeater,1,PreHeater+Feeder+Calciner,Calciner,PETCOKE_CALC_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:PETCOKE_CALC_SPM?Value,PETCOKE_CALC_SPM,,PreCalcinerTempPIDmaster.OP (set point to PC coal feeder),TPH,0,16.0,,,Analog,Sensor,Flow,,,,Controller OP,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-PH1-F-CSP-462SF581PID_SPM,West,NCJW,1,JF01,PreHeater,1,PreHeater+Calciner,Calciner,462SF581PID_SPM,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:462SF581PID_SPM?Value,462::SF581::PID_SPM,,PC_CoalFeeder.SetPoint (Rotascale),TPH,0,16.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-PH1-F-PV-462FM590_A01F01,West,NCJW,1,JF01,PreHeater,1,PreHeater+Calciner,Calciner,462FM590_A01F01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:462FM590_A01F01?Value,462::FM590::_A01::F01,,PC_CoalFeeder.PV (Rotascale),TPH,0,16.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-PH1-R-COP-462SF581_U01S01,West,NCJW,1,JF01,PreHeater,1,PreHeater+Calciner,Calciner,462SF581_U01S01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:462SF581_U01S01?Value,462::SF581::_U01::S01,,PC_CoalFeeder.OP (rotoscale rpm),%,0,100.0,,,Analog,Sensor,Speed,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-PH1-F-PV-462FM740_A01F01,West,NCJW,1,JF01,PreHeater,1,PreHeater+Calciner,Calciner,462FM740_A01F01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:462FM740_A01F01?Value,462::FM740::_A01::F01,,PC_CoalFeeder-2.PV (Rotascale),TPH,0,21.49,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-PH1-R-COP-462SF731_U01S01,West,NCJW,1,JF01,PreHeater,1,PreHeater+Calciner,Calciner,462SF731_U01S01,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:462SF731_U01S01?Value,462::SF731::_U01::S01,,PC_CoalFeeder-2.OP (rotoscale rpm),%,0,100.0,,,Analog,Sensor,Speed,,,,Controller OP,,3s,1.0,,,,,,,,,,
,W-NCJW1-KL1-F-CSP-F_FT324A_SPA,West,NCJW,1,JF01,Kiln,1,Kiln+Feeder,SFF,F_FT324A_SPA,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:F_FT324A_SPA?Value,F_FT324::A_SPA,,KilnFeed -1 SFM.SetPoint,TPH,0,250.0,,,Analog,Sensor,Flow,,,,Controller SP,,3s,1.0,,,,,,,,,,1.0
,W-NCJW1-KL1-F-PV-FKL_FT324A,West,NCJW,1,JF01,Kiln,1,Kiln+Feeder,SFF,FKL_FT324A,ns=3;s=10.28.36.5->opc.tcp://10.28.36.5:26080/->ns=2;s=1:FKL_FT324A?Value,FKL_FT324A,,KilnFeed-1 SFM.PV,TPH,0,250.0,,,Analog,Sensor,Flow,,,,PV,,3s,1.0,,,,,,,,,,1.0
