UID,Timestamp,Value,Device_id,Node_id
C-BLCW1-KM1-T-PV-L41BF1_TZF,2022-05-26T14:08:53.378Z,48.853287,UTCMFGIOTBCW-01,ns=3;s=ES2->ABB.AfwOpcDaSurrogate.1->{26754A24-F26C-4991-8288-251A3A55ED24}:io.AIS.L41BF1_TZF.Signal.Value
C-BLCW1-KM1-L-PV-L21HP2B_LZ1,2022-05-26T14:08:53.378Z,3.2311285,,ns=3;s=ES2->ABB.AfwOpcDaSurrogate.1->{26754A24-F26C-4991-8288-251A3A55ED24}:io.AIS.L21HP2B_LZ1.Signal.Value
C-BLCW1-KM1-T-PV-_481FB1_TZ2,2022-05-26T14:08:53.378Z,50.63173,,ns=3;s=ES2->ABB.AfwOpcDaSurrogate.1->{26754A24-F26C-4991-8288-251A3A55ED24}:io.AIS._481FB1_TZ2.Signal.Value
C-BLCW1-KM1-Q-PV-L41SK1_XZ1,2022-05-26T14:08:53.378Z,25.055313,,ns=3;s=ES2->ABB.AfwOpcDaSurrogate.1->{26754A24-F26C-4991-8288-251A3A55ED24}:io.AIS.L41SK1_XZ1.Signal.Value
C-BLCW1-KM1-T-PV-L41EP1_TZ5,2022-05-26T14:08:53.378Z,51.721222,,ns=3;s=ES2->ABB.AfwOpcDaSurrogate.1->{26754A24-F26C-4991-8288-251A3A55ED24}:io.AIS.L41EP1_TZ5.Signal.Value
C-BLCW1-KM1-T-PV-MP_05_TEMP,2022-05-26T14:08:53.378Z,28.008698,,ns=3;s=ES2->ABB.AfwOpcDaSurrogate.1->{26754A24-F26C-4991-8288-251A3A55ED24}:io.AIS.MP_05_TEMP.Signal.Value
C-BLCW1-KM1-T-PV-L41IX2_TZ9,2022-05-26T14:08:53.378Z,71.13986,,ns=3;s=ES2->ABB.AfwOpcDaSurrogate.1->{26754A24-F26C-4991-8288-251A3A55ED24}:io.AIS.L41IX2_TZ9.Signal.Value
C-BLCW1-KM1-T-PV-L41SR1_GB_TZ1,2022-05-26T14:08:53.378Z,41.49919,,ns=3;s=ES2->ABB.AfwOpcDaSurrogate.1->{26754A24-F26C-4991-8288-251A3A55ED24}:io.AIS.L41SR1_GB_TZ1.Signal.Value
C-BLCW1-KM1-T-PV-L41EP1_TZ4,2022-05-26T14:08:53.378Z,51.432816,,ns=3;s=ES2->ABB.AfwOpcDaSurrogate.1->{26754A24-F26C-4991-8288-251A3A55ED24}:io.AIS.L41EP1_TZ4.Signal.Value
C-BLCW1-KM1-T-PV-L412L1_TZ3,2022-05-26T14:08:53.378Z,39.44838,,ns=3;s=ES2->ABB.AfwOpcDaSurrogate.1->{26754A24-F26C-4991-8288-251A3A55ED24}:io.AIS.L412L1_TZ3.Signal.Value
