,Id,Variable_Type,Hi,HiHi,Value,Timestamp
1208,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,1.1,1.1,1.3671875,2022-05-28 15:26:40.306000+00:00
1209,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,1.2,95.0,1.359375,2022-05-28 15:26:39.149000+00:00
1020,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,1.1,1.1,1.01875,2022-05-28 15:26:39.149000+00:00
1021,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1156251,2022-05-28 15:26:38.014000+00:00
1210,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.296875,2022-05-28 15:26:38.014000+00:00
1022,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2625,2022-05-28 15:26:36.874000+00:00
1211,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3203125,2022-05-28 15:26:36.874000+00:00
1212,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3125,2022-05-28 15:26:35.708000+00:00
1023,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1625001,2022-05-28 15:26:35.708000+00:00
1024,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.2125001,2022-05-28 15:26:34.570000+00:00
1213,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3203125,2022-05-28 15:26:34.570000+00:00
1025,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.1656251,2022-05-28 15:26:33.420000+00:00
1214,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3359375,2022-05-28 15:26:33.420000+00:00
1026,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.065625,2022-05-28 15:26:31.059000+00:00
1215,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.3203125,2022-05-28 15:26:29.559000+00:00
1027,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.01875,2022-05-28 15:26:29.559000+00:00
1216,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.359375,2022-05-28 15:26:27.580000+00:00
1028,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.3125,2022-05-28 15:26:27.580000+00:00
1029,N-NDCW1-RM1-X-PV-361RM1AZ1,Vibration,52.0,82.0,1.359375,2022-05-28 15:26:26.439000+00:00
1217,N-NDCW1-RM1-X-PV-361FN1AZ1,Vibration,57.0,98.0,1.40625,2022-05-28 15:26:26.439000+00:00
